임신주차,태아발달_크기,태아발달_체중,태아발달_발달과정,태아발달_추가정보,임산부변화_신체적,임산부변화_정신적,임산부변화_호르몬변화,임산부변화_기타,영양정보_칼로리,영양정보_단백질,영양정보_비타민,영양정보_식이섬유,권장사항_운동,권장사항_수분섭취,권장사항_휴식,권장사항_정기검진  
13,12cm,65-80g,팔다리 길이 증가,모발 발달 시작,복부 확장 계속,두번째 삼분기 안도감,프로락틴 증가 시작,변비 악화 가능,340kcal 추가 (중기부터),61g/day (15g 추가),엽산 + 칼슘 1000mg,25g/day,규칙적인 운동,2.3L/day,충분한 휴식,2분기 혈액 검사  
14,14cm,100-110g,태아 피부 투명,지문 형성 시작,자궁 확장 지속,에너지 회복 느낌,임신 중기 호르몬 패턴,치질 발생 가능,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 비타민D 10μg,25g/day,임산부 요가 가능,2.3L/day,자세 관리,정기 산전 검진  
15,15-16cm,150g,모발 성장 활발화,태반 완전 발달,배꼽 주변 변화,태아 움직임 기대,에스트로겐 지속 증가,식욕 증가 시작,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 비타민D 10μg,25g/day,적절한 신체 활동,2.3L/day,등 통증 관리,태아 이상 여부 검사  
16,18cm,200g,태동 시작(초산),얼굴 표정 짓기 가능,태동 감지 가능 (초산),모성 본능 증가,호르몬 비교적 안정,변비 악화 가능,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 비타민D 10μg,25g/day,규칙적인 운동,2.3L/day,올바른 자세,정기 검진  
17,20cm,250g,고유 움직임 패턴 발달,체지방 형성 시작,임신부 체형 뚜렷,태아와 교감 증가,프로게스테론 안정화,식욕 증가,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 비타민D 10μg,25g/day,임산부용 운동,2.3L/day,자세 교정,정기 검진  
18,22cm,300g,청각 발달 시작,태반 발달 완료,등 통증 시작,정서적 안정,호르몬 안정적 유지,피부 탄력 저하 시작,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,25g/day,경도 운동,2.3L/day,충분한 휴식,정기 검진  
19,24cm,350g,피부 발달 심화,양수 섭취 시작,임신부 배 뚜렷,태아 움직임에 반응,렐락신 증가,다리 경련 시작,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,25g/day,적절한 운동,2.3L/day,다리 올리기,정기 검진  
20,25-27cm,400g,폐 발달 심화,피부에 태지 형성 시작,다리 통증 시작,태아와 유대감 강화,호르몬 평형상태,소화불량 악화 가능,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,25g/day,꾸준한 움직임,2.3L/day 이상,다리 올리기,20주 정밀 초음파  
21,27-28cm,450g,뇌세포 급속 증가,지방층 형성 증가,복부 피부 당김,모성애 발달,호르몬 균형 유지,수면 불편 시작,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,25g/day,가벼운 스트레칭,2.3L/day 이상,적절한 수면 자세,정기 검진  
22,28-30cm,500g,안구 운동 시작,머리카락 색 형성,임신선 뚜렷,태아와 소통 증가,호르몬 균형 유지,부종 시작 가능,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,25g/day,수영과 요가,2.3L/day 이상,적절한 휴식,정기 검진  
23,30-32cm,550-600g,폐 구조 발달 심화,피부 주름 발생,배꼽 돌출 시작,태아 반응에 기쁨,프로게스테론 높은 상태 유지,다리 경련 악화,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,28g/day,경도 운동 유지,2.3L/day 이상,다리 부종 관리,정기 검진  
24,32-33cm,600-650g,폐포 발달,근육 발달 심화,요통 심화,출산 불안 시작,호르몬 균형 유지,치질 악화 가능,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,28g/day,가벼운 운동,2.3L/day 이상,허리 통증 관리,정기 검진  
25,34-35cm,700-750g,폐 구조 완성,모세혈관 발달,소화불량 악화,출산 준비 생각,호르몬 균형 유지,불면증 심화 가능,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,28g/day,걷기와 수영,2.3L/day 이상,적절한 수면,정기 검진  
26,36cm,800-900g,뇌 발달 활발,피부 발달 심화,다리 부종 악화,분만 준비 생각,프로게스테론 변동,가려움증 발생 가능,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,28g/day,저강도 운동,2.3L/day 이상,다리 올려 휴식,임당 선별검사  
27,37cm,950g-1kg,뇌 활동 증가,뇌 주름 형성 시작,브랙스턴 힉스 시작,분만 준비 의식,호르몬 균형 유지,다리 경련 심화,340kcal 추가,61g/day,엽산 + 칼슘 1000mg + 철분 24mg,28g/day,가벼운 스트레칭,2.3L/day 이상,자세에 주의,정기 검진  
28,38cm,1.1kg,폐 성숙도 향상,태동 활발화,두통 발생 가능,출산 불안 증가,후기 호르몬 변화 시작,불면증 심화,450kcal 추가 (후기부터),76g/day (30g 추가),엽산 + 칼슘 1000mg + 철분 27mg,30g/day,저충격 운동,2.3L/day 이상,불면증 관리,세번째 삼분기 검사  
29,39cm,1.2kg,뇌 기능 발달 심화,활동 패턴 확실해짐,가슴앓이 심화,출산 준비 구체화,릴렉신 증가,다리 경련 심화,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg,30g/day,가벼운 운동,2.3L/day 이상,다리 올려 휴식,정기 검진  
30,40cm,1.3-1.4kg,뇌 발달 급속,지방 축적 활발,숨 가쁨 시작,출산 불안 심화,프로락틴 증가,피로감 심화,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg,30g/day,걷기,2.3L/day 이상,규칙적 휴식,정기 검진  
31,41cm,1.5kg,폐포 발달 본격화,몸무게 급증 시작,배 당김 심화,신생아 관련 생각,호르몬 계속 변화,불편함 심화,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg,30g/day,가벼운 걷기,2.3L/day 이상,자세 관리,태아 성장 모니터링  
32,42-43cm,1.7kg,면역 체계 발달 활발,피부 색 변화,자궁수축 더 빈번,출산 두려움 증가,프로게스테론 높은 수준,압박감 심화,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg,30g/day,가벼운 활동,2.3L/day 이상,적절한 수면 자세,정기 검진  
33,43-44cm,1.9-2kg,폐 기능 발달 심화,뇌 성장 지속,소변 빈도 증가,불안감 심화,호르몬 수준 높음,불편함 심화,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,30g/day,가벼운 요가,2.3L/day 이상,자세 전환,정기 검진  
34,45cm,2.1-2.2kg,폐 표면 활성제 생성 시작,손톱 발톱 완성,팽만감 심화,임박한 출산 불안,호르몬 수준 유지,체위 변경 어려움,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,30g/day,규칙적 활동,2.3L/day 이상,불편함 관리,정기 검진  
35,46cm,2.3-2.4kg,폐 기능 거의 완성,피하지방 증가,골반 압박 심화,출산 준비 본격화,호르몬 계속 높은 수준,수면 더 어려움,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,30g/day,가벼운 활동,2.3L/day 이상,충분한 휴식,B형 간염 검사  
36,47cm,2.5-2.7kg,면역 항체 전달 활발,장 내 태변 축적,브랙스턴 힉스 빈번,분만 준비 완료,옥시토신 민감도 증가,수면 매우 어려움,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,30g/day,느린 걷기,2.3L/day 이상,규칙적인 휴식,GBS 검사  
37,48cm,2.8-2.9kg,폐 기능 완성 단계,두개골 유연성 유지,골반 이완 심화,출산 준비 만전,프로스타글란딘 증가,불편함 극대화,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,35g/day,가볍게 걷기,2.3L/day 이상,자주 휴식,주 1회 검진 시작  
38,49cm,3.0-3.1kg,폐 기능 거의 완성,면역 기능 향상,자궁 수축 활발,출산 기대감,릴렉신 최고조,불안감 심화,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,35g/day,산책,2.3L/day 이상,충분한 휴식,태아 위치 확인  
39,50cm,3.2-3.3kg,폐 기능 완성,체내 지방 15% 정도,자궁경부 숙화 시작,진통 불안감,옥시토신 수용체 증가,극심한 불편함,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,35g/day,가벼운 활동,2.3L/day 이상,불편함 관리,분만 징후 교육  
40,50-51cm,3.4-3.5kg,모든 장기 기능 준비 완료,태동 감소 시작,자궁경부 확장 시작,분만 임박 긴장감,옥시토신 수용체 최대화,분만 징후 관찰,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,35g/day,가벼운 스트레칭,2.3L/day 이상,통증 관리,양수 지수 확인  
41,51cm,3.5-3.6kg,완전 발달 단계,모든 기관 완성,자궁경부 팽창,분만 임박 불안,프로스타글란딘 분비 증가,분만 시작 증상 관찰,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,35g/day,가벼운 활동,2.3L/day 이상,에너지 보존,태반 기능 평가  
42,51-52cm,3.6-3.7kg,피부 각질화 심화,양수 감소 시작,분만 진행 단계,분만 촉진 기대,옥시토신 최고조,분만 임박 증상,450kcal 추가,76g/day,엽산 + 칼슘 1000mg + 철분 27mg + 오메가3 200mg,35g/day,분만 준비 자세,2.3L/day 이상,에너지 관리,태아 모니터링 강화  
